,Area,Smart Phone,Multiple Devices,Wifi,Electricity Problem,Online/Offline
393,Village,yes,yes,no,yes,Online
394,Town,no,no,yes,yes,Offline
395,Village,yes,no,no,yes,Online
396,Village,yes,no,no,no,Offline
397,Village,no,yes,no,yes,Offline
398,Town,yes,no,yes,yes,Offline
399,Village,no,no,no,yes,Offline
400,Village,no,yes,yes,no,Offline
401,Village,no,no,no,no,Online
402,Village,no,yes,yes,yes,Online
403,Town,yes,no,yes,yes,Online
404,Village,yes,no,yes,yes,Offline
405,Village,yes,yes,yes,no,Offline
406,Town,no,yes,yes,yes,Online
407,Town,yes,no,yes,no,Offline
408,Town,no,no,no,no,Online
409,Village,no,yes,no,yes,Online
410,Village,no,yes,no,yes,Offline
411,Town,yes,yes,no,yes,Offline
412,Town,yes,no,yes,no,Offline
413,Village,yes,yes,no,no,Offline
414,Village,no,yes,no,yes,Offline
415,Village,yes,yes,yes,yes,Offline
416,Town,no,no,no,no,Online
417,Village,no,yes,yes,no,Online
418,Village,yes,no,no,yes,Online
419,Town,yes,yes,yes,yes,Offline
420,Town,no,yes,yes,no,Online
421,Town,no,yes,yes,no,Offline
422,Village,yes,no,yes,yes,Offline
423,Village,no,yes,no,yes,Online
424,Town,no,no,no,no,Offline
425,Village,yes,no,no,yes,Online
426,Town,yes,no,yes,yes,Offline
427,Village,no,yes,yes,no,Online
428,Town,yes,yes,no,no,Online
429,Village,yes,yes,yes,yes,Online
430,Village,yes,no,no,no,Offline
431,Town,no,no,yes,no,Online
432,Town,no,no,no,yes,Online
433,Town,yes,no,yes,no,Online
434,Town,yes,no,yes,yes,Offline
435,Town,yes,yes,yes,yes,Online
436,Village,yes,yes,no,yes,Offline
437,Town,yes,no,no,yes,Offline
438,Village,no,no,yes,yes,Online
439,Village,yes,yes,yes,no,Offline
440,Town,yes,no,yes,no,Online
441,Village,yes,no,yes,no,Offline
442,Village,no,no,no,yes,Offline
443,Village,yes,no,yes,yes,Online
444,Village,no,no,yes,no,Online
445,Village,no,no,no,no,Offline
446,Town,yes,no,yes,yes,Online
447,Town,yes,no,no,yes,Online
448,Town,no,yes,no,yes,Online
449,Village,yes,no,no,yes,Offline
450,Village,no,yes,no,no,Online
451,Village,yes,yes,yes,yes,Online
452,Town,yes,yes,no,yes,Online
453,Town,no,no,yes,yes,Online
454,Village,yes,no,yes,no,Online
455,Village,yes,no,no,yes,Online
456,Village,no,yes,yes,no,Online
457,Town,yes,yes,yes,no,Offline
458,Village,yes,no,no,no,Offline
459,Town,no,no,no,no,Online
460,Town,yes,yes,no,no,Online
461,Town,no,no,yes,yes,Offline
462,Town,yes,yes,no,yes,Online
463,Village,no,yes,no,no,Online
464,Town,yes,yes,no,no,Offline
465,Village,yes,yes,no,no,Online
466,Village,yes,no,yes,yes,Offline
467,Town,no,no,no,no,Online
468,Village,no,yes,no,yes,Online
469,Village,yes,yes,no,yes,Offline
470,Village,yes,yes,yes,no,Online
471,Village,no,yes,yes,yes,Offline
472,Village,yes,no,yes,yes,Offline
473,Town,yes,yes,yes,no,Online
474,Town,yes,yes,yes,no,Offline
475,Village,yes,no,no,no,Online
476,Village,no,no,yes,no,Online
477,Town,yes,yes,no,yes,Online
478,Village,no,no,no,yes,Offline
479,Village,yes,yes,yes,no,Online
480,Town,yes,yes,no,yes,Online
481,Town,yes,yes,yes,yes,Online
482,Village,no,yes,yes,yes,Offline
483,Town,no,no,no,yes,Offline
484,Town,no,yes,yes,yes,Offline
485,Town,no,yes,no,yes,Offline
486,Village,no,no,yes,yes,Offline
487,Village,no,yes,yes,yes,Offline
488,Town,no,yes,yes,no,Online
489,Village,no,yes,yes,yes,Offline
490,Village,yes,yes,yes,no,Online
491,Village,yes,yes,no,yes,Offline
492,Town,no,no,no,yes,Online
493,Town,yes,yes,yes,yes,Online
494,Village,no,no,yes,yes,Offline
495,Village,yes,yes,yes,no,Offline
496,Town,yes,no,yes,no,Online
497,Town,yes,yes,yes,yes,Offline
498,Village,yes,no,no,yes,Online
499,Town,no,no,no,yes,Online
500,Village,no,yes,no,yes,Online
501,Town,no,no,no,no,Online
502,Town,no,yes,no,no,Offline
503,Village,yes,no,yes,yes,Online
504,Town,yes,no,yes,yes,Offline
505,Village,no,no,no,no,Online
506,Village,yes,no,no,yes,Offline
507,Town,yes,no,no,no,Offline
508,Village,yes,no,no,yes,Online
509,Town,yes,no,yes,yes,Online
510,Town,no,no,yes,yes,Online
511,Village,no,no,no,yes,Offline
512,Town,no,no,yes,no,Offline
513,Town,no,no,yes,no,Offline
514,Village,yes,no,no,no,Online
515,Town,yes,no,no,yes,Online
516,Village,no,yes,no,no,Offline
517,Village,no,yes,no,yes,Online
518,Town,no,no,yes,yes,Online
519,Village,no,no,yes,no,Offline
520,Town,yes,yes,no,no,Offline
521,Village,no,yes,no,yes,Offline
522,Village,yes,no,no,no,Offline
523,Town,yes,no,no,no,Online
524,Town,yes,no,no,yes,Offline
525,Town,yes,no,yes,no,Offline
526,Town,no,no,no,no,Offline
527,Village,no,yes,no,yes,Offline
528,Town,yes,no,yes,no,Online
529,Town,yes,yes,no,no,Online
530,Town,yes,yes,no,yes,Online
531,Village,yes,yes,yes,yes,Online
532,Town,no,no,yes,no,Offline
533,Town,yes,no,yes,no,Online
534,Town,yes,yes,no,yes,Offline
535,Town,no,no,no,yes,Online
536,Town,yes,no,yes,yes,Offline
537,Village,yes,no,no,yes,Online
538,Village,no,no,no,yes,Offline
539,Village,no,no,no,no,Offline
540,Town,no,yes,no,no,Online
541,Village,yes,no,yes,no,Offline
542,Village,yes,yes,yes,no,Offline
543,Village,no,yes,yes,yes,Offline
544,Village,no,no,yes,yes,Offline
545,Village,yes,yes,yes,yes,Online
546,Town,yes,yes,yes,yes,Online
547,Town,no,yes,no,yes,Online
548,Town,yes,no,no,no,Offline
549,Village,no,no,no,yes,Offline
550,Village,no,yes,yes,yes,Online
551,Town,yes,yes,yes,no,Offline
552,Village,yes,no,no,no,Online
553,Town,yes,no,no,yes,Online
554,Town,no,no,yes,yes,Offline
555,Town,no,yes,yes,no,Online
556,Town,yes,no,yes,yes,Offline
557,Village,yes,no,yes,no,Online
558,Village,no,no,yes,no,Offline
559,Town,no,yes,no,yes,Online
560,Town,yes,yes,no,no,Offline
561,Village,no,no,yes,no,Offline
562,Town,no,no,no,no,Online
563,Village,no,no,no,yes,Online
564,Town,no,yes,no,no,Online
565,Town,yes,yes,yes,no,Offline
566,Town,yes,no,yes,no,Offline
567,Town,yes,yes,no,yes,Online
568,Town,yes,no,yes,yes,Online
569,Village,yes,no,no,no,Offline
570,Village,yes,no,yes,no,Offline
571,Town,yes,yes,yes,no,Online
572,Town,no,no,yes,no,Offline
573,Village,yes,yes,yes,yes,Offline
574,Village,no,yes,yes,yes,Offline
575,Town,no,yes,no,no,Offline
576,Town,no,yes,no,yes,Offline
577,Town,no,yes,yes,no,Offline
578,Town,yes,no,yes,yes,Offline
579,Village,yes,yes,no,no,Offline
580,Village,yes,yes,yes,yes,Offline
581,Village,no,no,yes,yes,Online
582,Town,no,yes,no,no,Online
583,Town,yes,yes,yes,yes,Offline
584,Village,no,no,no,no,Offline
585,Town,no,no,no,yes,Online
586,Village,yes,no,yes,no,Offline
587,Village,yes,yes,no,yes,Offline
588,Village,yes,no,yes,yes,Offline
589,Village,no,yes,yes,yes,Online
590,Village,no,no,no,no,Offline
591,Village,no,no,yes,yes,Online
592,Town,yes,yes,yes,no,Online
593,Village,yes,yes,yes,yes,Online
594,Town,no,yes,yes,no,Online
595,Town,yes,no,no,yes,Offline
596,Village,no,yes,no,yes,Offline
597,Village,no,yes,no,yes,Offline
598,Village,yes,yes,no,no,Offline
599,Village,no,yes,yes,no,Offline
600,Town,yes,no,yes,no,Offline
601,Village,yes,no,yes,no,Online
602,Town,yes,yes,yes,yes,Online
603,Town,yes,yes,no,no,Offline
604,Village,yes,no,yes,yes,Offline
605,Village,yes,yes,yes,yes,Online
606,Village,no,yes,no,no,Offline
607,Village,yes,no,yes,yes,Online
608,Village,no,yes,yes,yes,Online
609,Village,no,no,yes,yes,Online
610,Town,no,yes,no,no,Offline
611,Village,no,no,yes,no,Online
612,Town,yes,no,yes,yes,Offline
613,Village,yes,yes,yes,no,Online
614,Village,no,yes,yes,yes,Offline
615,Village,yes,no,yes,no,Offline
616,Village,yes,yes,no,yes,Online
617,Town,yes,no,no,no,Offline
618,Village,no,no,no,no,Online
619,Town,no,yes,yes,no,Online
620,Town,no,no,yes,yes,Offline
621,Village,no,no,yes,no,Online
622,Village,no,yes,yes,yes,Offline
623,Village,no,yes,yes,yes,Online
624,Town,yes,yes,no,no,Online
625,Town,no,no,no,yes,Offline
626,Town,yes,no,no,no,Offline
627,Town,no,yes,no,yes,Online
628,Town,yes,no,no,yes,Online
629,Town,yes,no,yes,yes,Offline
630,Village,no,yes,no,yes,Offline
631,Town,yes,no,no,no,Offline
632,Village,no,no,no,no,Offline
633,Town,no,no,yes,no,Online
634,Village,no,no,yes,no,Offline
635,Village,no,no,yes,yes,Online
636,Village,no,yes,no,no,Offline
637,Town,yes,yes,yes,yes,Online
638,Town,yes,no,no,yes,Offline
639,Town,no,no,no,yes,Online
640,Town,yes,no,no,yes,Online
641,Town,yes,no,yes,yes,Offline
642,Town,yes,no,no,yes,Online
643,Village,yes,yes,no,yes,Offline
644,Village,no,no,yes,no,Offline
645,Town,yes,no,no,yes,Offline
646,Village,no,yes,yes,no,Offline
647,Town,no,yes,no,yes,Online
648,Village,yes,no,yes,no,Online
649,Town,yes,yes,yes,no,Online
650,Town,no,yes,no,yes,Online
651,Town,no,no,no,yes,Online
652,Town,no,yes,yes,no,Offline
653,Village,yes,yes,yes,yes,Online
654,Village,no,no,no,no,Online
655,Town,yes,no,no,no,Offline
656,Village,no,yes,no,no,Online
657,Town,no,no,no,no,Online
658,Town,yes,no,yes,yes,Offline
659,Village,no,no,no,no,Offline
660,Town,yes,yes,yes,yes,Online
661,Village,no,no,no,no,Offline
662,Town,no,no,yes,yes,Offline
663,Village,yes,no,no,no,Offline
664,Village,yes,yes,yes,yes,Online
665,Village,yes,yes,yes,yes,Offline
666,Village,yes,no,yes,no,Offline
667,Town,no,yes,yes,yes,Offline
668,Village,yes,no,yes,no,Online
669,Village,no,yes,no,no,Online
670,Village,yes,no,no,yes,Offline
671,Village,no,yes,yes,no,Online
672,Town,no,yes,yes,no,Offline
673,Village,yes,no,yes,no,Online
674,Village,no,yes,yes,no,Online
675,Village,yes,yes,no,yes,Online
676,Village,no,no,no,yes,Online
677,Town,no,no,yes,no,Offline
678,Town,yes,yes,no,no,Offline
679,Village,yes,no,no,no,Offline
680,Village,no,yes,yes,yes,Offline
681,Village,yes,yes,yes,no,Online
682,Town,no,yes,yes,yes,Online
683,Town,no,yes,yes,yes,Offline
684,Village,yes,no,yes,yes,Offline
685,Village,yes,no,yes,yes,Offline
686,Village,no,no,no,no,Offline
687,Village,yes,no,no,yes,Online
688,Town,no,yes,yes,no,Online
689,Village,no,yes,yes,no,Online
690,Town,no,yes,yes,no,Offline
691,Village,yes,yes,no,no,Offline
692,Village,yes,no,no,no,Online
693,Town,no,yes,no,yes,Online
694,Village,no,yes,yes,yes,Offline
695,Town,no,yes,no,yes,Offline
696,Village,yes,no,no,no,Offline
697,Town,no,no,yes,yes,Online
698,Town,yes,no,no,no,Offline
699,Village,yes,no,yes,yes,Offline
700,Town,yes,yes,no,no,Offline
701,Village,yes,yes,no,yes,Online
702,Village,no,yes,no,yes,Online
703,Village,no,yes,yes,yes,Online
704,Town,yes,no,yes,yes,Online
705,Town,no,no,yes,no,Offline
706,Village,yes,no,no,no,Offline
707,Town,no,yes,yes,yes,Offline
708,Town,yes,no,no,yes,Online
709,Village,no,no,no,yes,Offline
710,Town,no,no,yes,no,Offline
711,Village,no,yes,no,yes,Online
712,Town,no,no,yes,no,Online
713,Town,no,no,yes,no,Online
714,Town,no,no,yes,yes,Online
715,Town,no,no,no,yes,Online
716,Village,yes,yes,yes,yes,Offline
717,Town,no,yes,no,no,Offline
718,Town,yes,yes,no,no,Offline
719,Village,yes,yes,yes,no,Offline
720,Village,no,yes,no,no,Offline
721,Village,no,yes,no,yes,Offline
722,Town,yes,no,yes,no,Offline
723,Village,no,no,yes,no,Offline
724,Town,no,yes,yes,no,Online
725,Village,yes,yes,yes,no,Online
726,Village,no,yes,no,yes,Offline
727,Town,yes,no,yes,no,Online
728,Village,yes,yes,yes,no,Offline
729,Village,no,no,yes,no,Offline
730,Village,yes,no,no,yes,Online
731,Town,no,yes,no,no,Offline
732,Town,no,no,yes,yes,Online
733,Town,no,no,no,no,Offline
734,Village,yes,yes,no,yes,Offline
735,Town,yes,yes,yes,yes,Online
736,Village,yes,no,no,no,Online
737,Village,yes,no,yes,no,Offline
738,Village,no,yes,no,yes,Online
739,Village,no,yes,yes,no,Offline
740,Village,no,yes,yes,no,Online
741,Town,no,no,yes,no,Online
742,Town,yes,no,no,no,Online
743,Town,no,yes,yes,yes,Online
744,Town,yes,no,yes,no,Online
745,Town,no,no,no,yes,Online
746,Village,no,yes,yes,yes,Online
747,Town,yes,yes,no,no,Online
748,Town,yes,yes,no,no,Online
749,Village,yes,yes,yes,no,Offline
